city,lat,lng,population,density
Roselawn,41.1535,-87.2881,3519,168
Pittsboro,39.8705,-86.4654,3518,365
Mountain View,19.5366,-155.159,3517,24
Teague,31.6296,-96.2802,3517,268
Lawrenceville,40.3018,-74.7378,3515,1302
Wadsworth,42.4448,-87.9202,3515,137
Rayville,32.4707,-91.7576,3515,587
Montura,26.6428,-81.0937,3514,60
Naples,40.4317,-109.4913,3512,205
Scissors,26.1333,-98.0475,3511,850
Valhalla,41.0773,-73.7778,3511,1634
Two Harbors,47.0302,-91.6752,3511,414
Monte Sereno,37.2405,-121.9881,3511,830
Gunnison,39.1569,-111.8135,3511,283
Squaw Valley,36.6997,-119.1995,3511,21
Robins,42.08,-91.6763,3510,226
St. James City,26.5506,-82.0979,3510,92
Pajaro,36.9017,-121.7417,3509,1461
Mission Hills,34.6861,-120.4404,3509,1120
Bridgeville,38.7251,-75.6029,3508,280
Meadow Vista,39.0029,-121.0303,3508,256
Willcox,32.2515,-109.8359,3507,220
St. Johns,34.5018,-109.3784,3507,52
Perham,46.5999,-95.5771,3506,378
Holden Heights,28.5013,-81.3878,3506,1319
Montrose,45.0669,-93.9203,3505,439
Etowah,35.3381,-84.5282,3505,478
Valley Green,40.1567,-76.7947,3504,968
Lavon,33.0252,-96.4381,3504,444
Lyons,38.3462,-98.2045,3504,523
Red Bud,38.2096,-89.9989,3504,515
Broken Bow,41.4051,-99.6408,3503,670
Pelham,31.1267,-84.1515,3502,331
Port St. Joe,29.8274,-85.3075,3502,144
Yuma,40.1235,-102.7161,3500,426
Park City,35.0782,-86.5834,3500,247
Cedar Grove,30.1812,-85.6268,3499,513
Canton,43.3032,-96.5848,3499,413
Hot Springs,43.4195,-103.4657,3498,311
Brimfield,41.0941,-81.3482,3498,339
Beloit,39.4645,-98.1082,3497,344
Windermere,28.5028,-81.5377,3497,698
Bloomer,45.1033,-91.4915,3495,457
Auburn Lake Trails,38.8916,-120.9849,3495,106
Agua Dulce,34.5044,-118.316,3494,59
Mississippi State,33.4516,-88.7912,3494,576
Wrightstown,44.3263,-88.1756,3494,312
Mifflinburg,40.9202,-77.0465,3493,747
Gibbstown,39.8233,-75.2782,3493,820
West End-Cobb Town,33.6526,-85.8741,3492,327
Kensington Park,27.3578,-82.4942,3492,1394
Pulaski,44.6684,-88.2351,3492,475
Brookland,35.8991,-90.5767,3491,172
Llano,30.7509,-98.6763,3490,255
Bunk Foss,47.9618,-122.0944,3488,346
Narragansett Pier,41.4281,-71.4668,3487,377
Pemberwick,41.0225,-73.6564,3487,1990
Gooding,42.9373,-114.7134,3487,886
Rexland Acres,35.3051,-118.997,3487,2590
East Basin,40.7359,-111.4708,3486,149
Loyalhanna,40.3144,-79.356,3486,571
McCall,44.9076,-116.1124,3485,148
Locust Valley,40.8783,-73.5884,3485,1484
Blackshear,31.2954,-82.2453,3484,265
Venice Gardens,27.0739,-82.4125,3484,1454
York Harbor,43.1435,-70.649,3484,419
Hilltop,34.9755,-81.9586,3483,736
Rosita,28.6244,-100.4287,3483,171
Celada,18.2667,-65.9621,3483,2011
Sauk City,43.2722,-89.7312,3481,872
Melody Hill,38.024,-87.512,3481,982
Oakhurst,40.2607,-74.0263,3480,834
Desert Edge,33.9223,-116.4401,3480,592
Kane,41.6631,-78.8094,3479,858
Old Stine,35.3478,-119.047,3477,2176
Delshire,39.0884,-84.5949,3476,1902
Forsyth,39.9259,-88.9641,3474,428
Black River Falls,44.2981,-90.842,3473,320
Linwood,39.8254,-75.4253,3473,2064
East Richmond Heights,37.945,-122.314,3473,2312
Sissonville,38.5042,-81.6398,3472,105
Marianna,34.7736,-90.7674,3472,370
Frazer,40.0374,-75.556,3472,633
Mount Pleasant,39.5406,-111.456,3471,457
Cuthbert,31.7713,-84.794,3470,439
Gothenburg,40.9242,-100.154,3469,368
Rochester,40.7025,-80.2838,3468,2276
Shady Spring,37.7032,-81.0914,3467,215
Feather Sound,27.9061,-82.6813,3466,473
Union Springs,32.1395,-85.7141,3465,201
Fairchild AFB,47.6187,-117.6484,3464,201
Riverton,39.8456,-89.5363,3464,428
Marietta-Alderwood,48.7934,-122.5573,3463,229
Poteet,29.0373,-98.5728,3462,771
High Bridge,40.6684,-74.894,3460,558
Trevose,40.1509,-74.982,3460,1891
Hobart,35.0246,-99.0875,3460,397
Seymour,44.5142,-88.3271,3459,496
Wilkesboro,36.1424,-81.174,3457,211
Pawhuska,36.6687,-96.3313,3456,361
Gravette,36.4291,-94.3712,3456,87
Elm Creek,28.7783,-100.491,3455,471
Ringgold,34.9136,-85.1215,3454,265
Sheridan,40.132,-86.2198,3454,643
Heflin,33.647,-85.5698,3453,82
Sabana Hoyos,18.4213,-66.6084,3453,512
Zumbrota,44.295,-92.6736,3452,472
Golden Grove,34.7324,-82.4407,3449,230
Dewey,36.7913,-95.9328,3448,472
Myrtle Creek,43.0227,-123.2812,3447,532
Minoa,43.0742,-76.0083,3447,1007
Blissfield,41.8311,-83.8635,3447,600
Middleville,42.7138,-85.4693,3447,573
Cape May,38.9409,-74.9042,3446,537
Red Oak,36.0415,-77.9064,3446,68
Malvern,40.0329,-75.5146,3445,1055
Woodstown,39.6503,-75.3251,3445,844
Mariemont,39.1429,-84.3783,3445,1488
Virden,39.506,-89.7711,3444,703
Bullard,32.1451,-95.3196,3444,397
Park View,41.6953,-90.5394,3444,900
Brentwood,38.9439,-76.9571,3443,2793.1
Central Park,46.9705,-123.7018,3442,377
Mount Gilead,40.5532,-82.828,3439,392
Locust,35.2688,-80.4369,3439,163
Altavista,37.1235,-79.2856,3439,258
Lockland,39.2279,-84.4565,3439,1089
Lake Lakengren,39.6894,-84.69,3437,464
Moss Beach,37.5184,-122.5036,3436,590
Piney Point Village,29.7588,-95.5156,3435,622
Humboldt Hill,40.7219,-124.1987,3435,319
Salunga,40.0929,-76.4279,3433,736
Tutwiler,34.0172,-90.4333,3433,478
Six Mile Run,40.473,-74.5334,3432,177
Plymouth,35.8588,-76.7487,3432,328
Le Roy,40.3395,-88.7628,3429,550
Hominy,36.4219,-96.393,3428,673
Montrose,41.2425,-73.9424,3428,816
Ocala Estates,29.2018,-82.3098,3427,1356
Cedar Creek,30.0811,-97.518,3427,73
Clifton,31.7822,-97.5824,3427,645
Freeland,41.0212,-75.8963,3427,1959
Carrollton,39.3636,-93.4955,3427,317
Houston,33.8963,-89.0031,3426,179
Vicksburg,42.1185,-85.5413,3425,451
Elizabethtown,34.6219,-78.6074,3424,260
Riverside,39.1703,-94.6306,3422,239
Windsor,35.9928,-76.9401,3422,469
Benton City,46.2622,-119.4812,3422,535
Germantown Hills,40.7711,-89.4669,3421,807
Annandale,45.2599,-94.1205,3420,438
Wynantskill,42.6879,-73.6449,3420,386
Morada,38.0386,-121.2456,3419,442
Hanover,38.7133,-85.4725,3418,594
Morganfield,37.6869,-87.8878,3416,468
Bajadero,18.4245,-66.6765,3416,645
Paw Paw,42.2148,-85.8919,3416,494
Hidden Springs,43.7201,-116.2508,3416,500
Angwin,38.5776,-122.4513,3415,273
Day Valley,37.0255,-121.8559,3414,71
Johnston City,37.8214,-88.929,3414,622
Hanover,45.1579,-93.6634,3414,240
West Liberty,37.9161,-83.2668,3414,268
Maiden,35.5845,-81.224,3413,226
New Hampton,43.0563,-92.3153,3413,393
Three Lakes,47.942,-121.9924,3411,112
Dillonvale,39.2173,-84.4031,3411,1476
Smithville-Sanders,39.0597,-86.5108,3411,122
Eagle Grove,42.6662,-93.9024,3410,323
Alma,31.5432,-82.4745,3409,216
Minden,38.9632,-119.7683,3409,355
Abernathy,33.842,-101.8162,3408,410
Vineyards,26.2279,-81.728,3407,672
Loyola,37.3503,-122.0979,3404,945
Jasper,35.0663,-85.6227,3404,133
Paris,35.2894,-93.7252,3403,287
Acushnet Center,41.685,-70.9064,3403,928
Haworth,40.9622,-73.9976,3400,677
Jena,31.6914,-92.1298,3400,238
Karnes City,28.8858,-97.9002,3398,573
Frontenac,37.4581,-94.7012,3398,251
North Great River,40.7599,-73.168,3396,557
Newcastle,43.851,-104.2123,3395,511
Kenedy,28.8176,-97.8518,3394,357
Clayton,39.2849,-75.6366,3393,672
Tipton,36.0572,-119.3135,3391,758
West Sand Lake,42.6402,-73.6033,3391,274
Barrett,29.8671,-95.0537,3389,204
Rio Dell,40.5023,-124.1105,3388,573
Mayfield,41.5502,-81.4369,3388,332
Buies Creek,35.4082,-78.7414,3388,432
Eielson AFB,64.6741,-147.0605,3388,43
Jewett City,41.607,-71.9806,3387,1855
Blountville,36.533,-82.329,3387,265
Carey,40.9497,-83.3831,3386,605
Union City,40.1995,-84.8206,3385,579
Wolf Lake,43.2451,-86.1074,3382,368
Fort Branch,38.2461,-87.5734,3381,1199
Greentown,40.9266,-81.4015,3380,511
Lincoln,43.5183,-111.9692,3380,839
Jamestown,37.9574,-120.411,3379,434
Waldron,34.9022,-94.0953,3379,231
Sleepy Eye,44.299,-94.7234,3378,697
Hanceville,34.0632,-86.7645,3377,297
La Salle,40.3484,-104.7062,3377,1361
Mount Healthy Heights,39.2702,-84.5693,3376,1775
Lake Erie Beach,42.6242,-79.0786,3374,340
Tuckerton,39.5973,-74.3306,3373,387
Hardwick,33.0523,-83.244,3372,267
Cleves,39.1635,-84.7468,3371,841
Littleton Common,42.5352,-71.4727,3370,367
Walton Park,41.3142,-74.2237,3369,421
Three Rivers,43.8366,-121.4646,3368,172
Winter Beach,27.712,-80.4254,3368,189
Arbuckle,39.0141,-122.061,3368,738
Woodlawn,39.2556,-84.471,3367,508
Westway,31.9603,-106.576,3365,1131
Heyburn,42.5599,-113.7624,3365,497
Carthage,43.9837,-75.6021,3364,535
Shannondale,39.2123,-77.8105,3364,154
Corunna,42.9837,-84.1162,3363,408
Story City,42.1866,-93.5863,3362,472
Hoosick Falls,42.9009,-73.35,3361,812
Clyde Hill,47.6304,-122.218,3360,1229
South Nyack,41.0797,-73.9127,3359,2148
Jefferson,41.7384,-80.7689,3359,511
Lincoln Heights,39.2434,-84.457,3359,1745
Silver Springs,29.2191,-82.0558,3359,210
Enochville,35.5205,-80.6644,3358,289
Sonora,30.5707,-100.6423,3357,584
Whispering Pines,35.2537,-79.3754,3357,347
Blackstone,37.0822,-78.003,3356,288
Moorefield,39.0675,-78.9623,3356,485
Oaklawn-Sunview,37.6084,-97.2984,3354,2412
Flat Rock,35.2678,-82.4526,3354,159
Turnersville,39.7666,-75.0613,3353,860
Ossian,40.877,-85.1683,3352,776
Greensboro,33.5687,-83.1872,3350,187
Redwood,29.81,-97.9103,3349,200
Flagler Estates,29.6441,-81.4571,3348,109
Hoopa,41.0803,-123.6972,3348,63
Jefferson,44.7171,-123.0068,3348,1508
Sharpsburg,40.494,-79.9249,3347,2675
Alamo,32.1469,-82.7798,3345,659
Upland,39.8562,-75.3796,3344,1989
Hollywood Park,29.5994,-98.4841,3343,892
Peshtigo,45.056,-87.7471,3341,442
Salem Heights,39.0658,-84.384,3341,793
Gibson City,40.4665,-88.3788,3340,555
Manila,35.8847,-90.1652,3340,343
Swansboro,34.6957,-77.1367,3339,578
Port Angeles East,48.1041,-123.3694,3339,341
La Center,45.8601,-122.6756,3338,497
Reamstown,40.2113,-76.118,3338,570
South Duxbury,42.0203,-70.6913,3338,439
Ely,47.9054,-91.8517,3338,440
Eastlawn Gardens,40.748,-75.2913,3338,741
East Rockingham,34.9116,-79.7661,3338,376
Wellsville,40.6042,-80.655,3336,714
Oakridge,43.7451,-122.4638,3336,595
Etna,40.4975,-79.9475,3336,1750
Waterloo,43.1835,-88.9899,3334,339
Port Ewen,41.9042,-73.9778,3334,616
Nicholls,31.5186,-82.6396,3333,629
The Homesteads,32.4755,-97.1663,3333,336
Wyncote,40.0915,-75.1463,3333,1566
Glasgow,48.199,-106.6321,3332,916
Lake Holm,47.2985,-122.1335,3332,153
Winnsboro,32.9557,-95.2909,3330,343
Port Hadlock-Irondale,48.0316,-122.789,3329,192
Stanhope,40.9141,-74.7027,3327,699
Cottondale,33.1923,-87.4543,3325,372
Manor,40.3459,-79.6693,3324,670
Keego Harbor,42.6088,-83.3442,3323,2589
Osceola,41.6647,-86.0787,3323,944
Delmar,38.445,-75.5662,3321,758
Reno,33.6659,-95.4768,3321,312
Auberry,37.0853,-119.4495,3321,27
Reliez Valley,37.9399,-122.1027,3321,543
Bella Vista,40.6427,-122.246,3320,48
Summersville,38.2864,-80.8409,3316,285
Andrews AFB,38.8054,-76.8744,3316,184
Islandia,40.8069,-73.1711,3315,578
Cutten,40.7657,-124.1445,3315,998
Goldstream,64.9339,-148.0083,3315,14
Moreland Hills,41.4422,-81.4293,3315,178
Masontown,39.8486,-79.9085,3314,856
Edcouch,26.2937,-97.9631,3314,1236
Ohioville,40.6872,-80.4783,3313,54
Crestview Hills,39.0249,-84.5695,3310,672
Philippi,39.1488,-80.0417,3310,451
Carrollton,40.5787,-81.0907,3310,464
Weaverville,40.7407,-122.929,3308,99
Durand,42.9127,-83.989,3308,654
Long Prairie,45.9775,-94.863,3308,465
Springdale,40.5409,-79.7819,3307,1367
Spring City,40.1768,-75.5466,3307,1663
Auburn,40.3894,-95.8436,3306,584
North Fork,37.2306,-119.5199,3306,39
Barron,45.4015,-91.8476,3306,437
Georgetown,38.2954,-85.964,3305,589
Cuba,38.0671,-91.4057,3305,399
Mount Oliver,40.4113,-79.9856,3304,4251.8
Lakeland,31.0409,-83.0748,3303,411
Mobridge,45.5409,-100.4349,3303,650
West Lake Hills,30.292,-97.8083,3302,354
Old Mystic,41.3852,-71.9851,3302,297
Pistakee Highlands,42.4023,-88.2115,3302,993
Pagedale,38.6802,-90.3081,3301,1058
Woodbourne,40.2017,-74.8873,3301,1033
Water Valley,34.1622,-89.63,3300,181
Hartford,43.621,-96.9424,3300,479
Heron Bay,33.3393,-84.1922,3300,282
Elma,47.0055,-123.4112,3299,499
Cherryvale,33.9543,-80.4609,3298,704
Heavener,34.8919,-94.6075,3298,259
Hauula,21.6111,-157.9118,3298,1099
West Point,37.5519,-76.8017,3297,252
Vinton,30.1957,-93.5818,3296,249
South Beach,27.5883,-80.3435,3296,468
Wanakah,42.7435,-78.9027,3296,1056
Dundee,45.2759,-123.007,3296,950
Minerva,40.7306,-81.1023,3294,586
Essexville,43.6123,-83.8423,3294,982
Lindsborg,38.5774,-97.6738,3294,693
Troy,35.365,-79.8918,3293,347
Mingo Junction,40.3244,-80.6173,3293,472
Newbern,36.1169,-89.2713,3293,280
Ross,39.3146,-84.6599,3293,406
Riverview Park,40.3912,-75.9509,3293,1282
Plainview,44.1648,-92.1697,3292,593
Haughton,32.5277,-93.5041,3292,222
Red Springs,34.8046,-79.1822,3291,362
Southern Gateway,38.3489,-77.5036,3291,395
Skidway Lake,44.1918,-84.0467,3289,112
West Orange,30.0791,-93.7598,3287,373
Livingston,32.5982,-88.1891,3286,177
Empire,37.6432,-120.9073,3285,1085
Ellsworth,44.7364,-92.4806,3284,333
Chandler,35.7224,-96.8925,3283,133
Medina,47.6273,-122.2427,3283,883
Elkins,36.0173,-94.0252,3283,327
Lake Cherokee,32.3569,-94.6513,3283,103
Kotzebue,66.8766,-162.5231,3283,51
Village Shires,40.2016,-74.9706,3282,1042
West Point,41.8379,-96.7057,3282,446
Cabán,18.445,-67.1363,3282,2795
Sugar Creek,39.1433,-94.3994,3281,115
Muldrow,35.404,-94.5976,3279,298
Woodlawn Beach,30.3865,-86.9944,3279,533
Hinton,35.4895,-98.3575,3279,267
Sherwood,39.0853,-84.3608,3277,1183
Sleepy Hollow,42.0912,-88.3138,3276,626
Waller,30.0665,-95.9278,3276,343
Lake California,40.3608,-122.2102,3276,200
Okemah,35.4292,-96.2998,3275,407
Marysville,39.8432,-96.6387,3275,277
Grantville,33.2371,-84.8293,3273,218
Blountstown,30.443,-85.0455,3273,396
Ponce Inlet,29.0927,-80.9472,3272,281
West DeLand,29.0162,-81.3343,3271,587
Wewoka,35.1441,-96.4968,3271,260
North Wales,40.2111,-75.2745,3271,2150
Lordstown,41.1684,-80.859,3270,54
Melbourne Beach,28.0668,-80.561,3270,1278
Leisuretowne,39.8987,-74.7059,3270,611
Orange,41.4414,-81.4743,3269,331
McChord AFB,47.133,-122.4923,3268,214
Harlem,33.4275,-82.3131,3267,195
Lewes,38.7776,-75.145,3266,300
North Brooksville,28.5731,-82.3744,3266,193
South Berwick,43.2321,-70.7963,3264,459
Newburgh,37.9494,-87.4053,3263,844
Alexander,34.6185,-92.4512,3263,558
Val Verde,34.4504,-118.6717,3261,490
West Monroe,41.9143,-83.4317,3261,1006
Desert View Highlands,34.5903,-118.1535,3259,2853
Somerville,35.2352,-89.3869,3257,92
Russell,38.5116,-82.6996,3257,368
Berwyn Heights,38.9928,-76.9132,3256,1810
Attica,40.2874,-87.2452,3256,696
Avery Creek,35.4651,-82.5719,3256,725
El Verano,38.2975,-122.4915,3256,1098
Fulton,41.865,-90.1593,3255,537
Timberline-Fernwood,35.3168,-111.5507,3255,128
Howards Grove,43.8261,-87.8232,3253,564
San Miguel,37.8867,-122.0368,3253,1195
Cactus,36.0444,-102.008,3252,589
Pottsville,35.2312,-93.0654,3252,92
Lockport,29.6443,-90.5324,3252,1108
Lake Junaluska,35.5305,-82.9749,3252,236
Hillsboro,38.2331,-90.5671,3251,326
Skippers Corner,34.3292,-77.9141,3250,179
Mount Shasta,41.3206,-122.315,3250,333
Gramercy,30.061,-90.6929,3249,623
Mount Hope,40.9182,-74.5508,3249,570
Louisiana,39.4413,-91.0626,3248,400
Nesquehoning,40.866,-75.8322,3247,59
Cornville,34.7389,-111.9086,3247,95
Ferriday,31.6343,-91.5562,3247,769
Choccolocco,33.6683,-85.7128,3246,107
Kekaha,21.9684,-159.7141,3246,1249
Chickamauga,34.8753,-85.2885,3245,442
Pendleton,34.6451,-82.7818,3245,264
Garnett,38.2845,-95.2408,3245,406
Pottsgrove,40.2644,-75.6093,3245,453
Blairsville,40.4326,-79.2599,3242,884
Bamberg,33.2995,-81.0323,3240,349
South Vacherie,29.9406,-90.6893,3240,246
Amesti,36.9583,-121.7805,3240,425
Tyro,35.7997,-80.3765,3239,97
Cross Mountain,29.6559,-98.658,3238,204
Burlington,39.3042,-102.2712,3237,580
Moulton,34.4844,-87.2833,3237,208
Taylor Creek,39.2362,-84.6802,3236,145
Williams,35.2476,-112.1834,3234,28
Cascade Valley,47.1417,-119.326,3234,336
Moscow Mills,38.94,-90.9254,3234,395
Holton,39.4699,-95.7319,3233,466
Denmark,33.3152,-81.1364,3231,319
Dakota Dunes,42.492,-96.487,3231,505
Kurtistown,19.586,-155.0713,3230,174
Lutcher,30.0646,-90.7124,3229,369
Lake Success,40.768,-73.7089,3228,673
Lake Royale,35.9666,-78.196,3228,191
Westville,40.0439,-87.6389,3228,742
Vine Hill,38.007,-122.0873,3228,829
Rural Hall,36.2251,-80.2973,3227,436
Spencer,35.6986,-80.4254,3227,403
Big Lake,31.1941,-101.4534,3226,521
North Lakeville,41.862,-70.9411,3226,246
Monmouth Beach,40.3364,-73.9863,3226,1195
Georgetown,39.9774,-87.6354,3224,770
Wellsboro,41.7458,-77.3031,3223,253
Gray,33.0021,-83.5374,3223,316
Hodgenville,37.5668,-85.7354,3221,584
Lebanon,36.8991,-82.0784,3221,258
Country Squire Lakes,39.038,-85.6849,3220,485
Four Bridges,39.3828,-84.3542,3220,566
St. Maries,47.3146,-116.5723,3219,1046
Aguas Buenas,18.2573,-66.1061,3219,1266
Canyon Creek,48.1157,-121.9832,3218,203
Frostproof,27.7494,-81.5252,3217,115
Myerstown,40.3722,-76.3055,3217,1450
Tipton,38.6549,-92.7803,3213,593
Heyworth,40.3138,-88.9928,3212,409
Brodhead,42.6168,-89.3756,3211,690
Clarence Center,43.0085,-78.6309,3211,549
East Dundee,42.0972,-88.2545,3211,436
Ingram,40.4447,-80.0685,3210,2858
Loíza,18.4309,-65.8801,3209,2399
Welsh,30.2355,-92.8135,3209,195
McGovern,40.2362,-80.2268,3209,538
Iowa,30.2393,-93.013,3209,390
Pleasant Gap,40.8673,-77.7439,3208,757
Buzzards Bay,41.755,-70.6128,3208,646
Jackson,43.6265,-94.9891,3208,238
Winnsboro,34.3718,-81.0907,3208,383
Hilliard,30.6866,-81.9212,3207,224
Algona,47.282,-122.2504,3207,958
Cassville,36.6786,-93.8682,3206,361
Hartsdale,41.0154,-73.8036,3205,1458
Crockett,38.0519,-122.2201,3205,1164
Howe,33.5067,-96.6155,3204,242
Coplay,40.671,-75.4961,3204,2026
Greens Farms,41.1264,-73.322,3203,325
Athens,41.9515,-76.5187,3203,688
Beulah,47.2665,-101.7734,3201,506
Breckenridge,46.2662,-96.585,3198,488
Warrior,33.8149,-86.8157,3197,126
Felton,37.0392,-122.0808,3197,266
Marion,32.6318,-87.3172,3196,116
Grangeville,45.926,-116.1224,3195,818
Haskell,33.1597,-99.732,3194,342
Mattapoisett Center,41.6666,-70.8056,3193,252
Cloverdale,37.3566,-79.9055,3193,397
West Wyomissing,40.3222,-75.995,3192,1524
Tipton,41.7701,-91.1283,3192,609
Yerington,38.9554,-119.1101,3190,41
Newton,32.3296,-89.1534,3190,172
Old Hill,41.1491,-73.3764,3190,570
Vado,32.1278,-106.6571,3189,413
Gosnell,35.9644,-89.9721,3188,737
Bethel Acres,35.3048,-97.037,3187,43
Millersburg,40.5533,-81.9171,3187,485
Surf City,34.4346,-77.5644,3187,161
Peaceful Valley,48.9507,-122.1484,3187,491
Mannford,36.1306,-96.334,3186,165
Lesslie,34.8856,-80.9541,3185,202
Verona,34.1907,-88.7204,3185,334
Penrose,38.4213,-105.0004,3185,68
Chico,47.6226,-122.7193,3184,509
Casa Conejo,34.1848,-118.9445,3184,2606
Mount Morris,42.0484,-89.4294,3182,787
Northlake,33.0809,-97.2548,3182,69
West Berlin,39.8104,-74.9407,3182,1049
Ravena,42.4755,-73.8112,3181,836
Tierras Nuevas Poniente,18.4614,-66.4891,3181,1340
Tallapoosa,33.7335,-85.2859,3180,122
Pitcairn,40.4079,-79.7765,3180,2428
Port Washington North,40.8434,-73.7014,3180,2565
Saddle River,41.0273,-74.0956,3180,249
Lowesville,35.4193,-80.9998,3180,180
Villa Ridge,38.4676,-90.8854,3179,249
Havana,40.295,-90.0566,3178,442
Annetta,32.6938,-97.6581,3178,326
Ripley,38.8201,-81.7091,3177,386
Rockwood,42.0705,-83.243,3177,486
Nyssa,43.8779,-116.9956,3176,791
Rush City,45.6875,-92.9655,3175,288
Parker,34.0286,-114.2224,3174,55
Monument Beach,41.7192,-70.606,3173,474
Laguna Vista,26.1097,-97.2968,3172,253
Huntington,31.2803,-94.577,3171,445
Petersburg,56.7566,-132.8727,3170,27
Bushnell,28.686,-82.1165,3170,98
Cadiz,40.2644,-80.998,3169,139
Pickens,34.8856,-82.7104,3169,430
Blue Ridge,37.3783,-79.8206,3169,201
Liberty,34.7904,-82.6961,3168,274
Wimberley,29.9848,-98.0906,3168,136
Homestead,40.4073,-79.9097,3168,2123
Galena,42.4218,-90.4293,3168,272
Netcong,40.8985,-74.7019,3167,1468
South Blooming Grove,41.3735,-74.179,3166,261
Tishomingo,34.2388,-96.683,3166,232
Madison,41.7722,-81.0529,3166,240
Morongo Valley,34.0724,-116.5627,3166,48
Hogansville,33.1674,-84.9027,3165,167
Pleasant Valley,39.4504,-80.1552,3165,378
Millington,40.6763,-74.5159,3165,469
Orchard City,38.8144,-107.9705,3164,106
Geneva,28.7377,-81.1143,3164,105
El Cenizo,27.3318,-99.5028,3164,2370
Oak Ridge North,30.157,-95.4421,3163,844
Meadowdale,47.8583,-122.316,3162,1144
Dandridge,36.0284,-83.4308,3162,205
Crystal River,28.8964,-82.5991,3161,163
Brownstown,40.1267,-76.2184,3160,490
Macungie,40.5165,-75.5545,3159,1232
Centerville,40.03,-79.9633,3159,92
Hideaway,32.489,-95.4578,3157,590
South Hempstead,40.6814,-73.6233,3157,2107
Emmitsburg,39.7051,-77.3217,3156,811
Tomahawk,45.4746,-89.7228,3156,155
Chenango Bridge,42.1716,-75.8586,3155,497
Greenwood,32.4359,-93.9643,3155,135
Brackenridge,40.6079,-79.7411,3155,2373
Corydon,38.213,-86.1257,3154,744
Kachina Village,35.0947,-111.6928,3154,1003
Williamsburg,41.6683,-92.0103,3152,361
Ocean Grove,40.2119,-74.0083,3151,2608.1
Carrizales,18.4811,-66.7879,3151,2151
Mountain Home AFB,43.0496,-115.8655,3151,121
New Baden,38.5367,-89.7071,3150,666
Stonybrook,39.9811,-76.6306,3150,637
Hamburg,41.1485,-74.5736,3149,1062
Thiensville,43.2361,-87.9785,3149,1171
Haviland,41.765,-73.8977,3148,246
Union City,41.897,-79.8437,3148,664
Grand Saline,32.6776,-95.7114,3148,579
Cashmere,47.5175,-120.467,3148,1044
Wesleyville,42.1369,-80.0123,3147,2293
Wilder,43.6804,-72.3168,3146,474
Walbridge,41.5864,-83.493,3145,555
Nevada City,39.2607,-121.0231,3145,555
Lake Orion,42.7827,-83.2453,3143,1532
Avondale Estates,33.7699,-84.2648,3142,991
Lordship,41.1533,-73.1197,3141,1448
Naranjito,18.3029,-66.2498,3138,1827
Cleveland,36.3008,-96.4635,3138,451
El Cerro,34.7807,-106.6955,3138,285
Zillah,46.4084,-120.2727,3137,665
Blanchard,32.6027,-93.8832,3137,347
Knoxville,40.907,-90.2857,3137,515
Mamou,30.6349,-92.4179,3137,859
Elgin,34.7849,-98.301,3137,317
Milbank,45.2195,-96.6338,3137,436
Yorkville,42.7155,-88.0097,3136,36
Bethany,40.2684,-94.0282,3135,272
Waynesville,39.5329,-84.0904,3135,512
Salmon,45.1743,-113.8947,3135,482
San Saba,31.1975,-98.7194,3134,446
Winfield,38.5292,-81.8857,3133,513
Woodside,40.2305,-74.8606,3133,1182
Midway,30.4995,-84.4582,3132,125
South Jacksonville,39.7025,-90.2292,3132,532
Hill 'n Dale,28.519,-82.2918,3132,550
West Simsbury,41.8757,-72.845,3131,260
South Point,38.4214,-82.5784,3130,410
Jones,35.5662,-97.2901,3129,88
Blue Earth,43.6409,-94.1005,3128,366
Balcones Heights,29.4899,-98.5503,3128,1845
Boscobel,43.1437,-90.6948,3128,375
Clare,43.8259,-84.763,3127,324
Chattahoochee,30.6977,-84.8341,3125,215
Red Bay,34.4357,-88.1361,3125,123
Spearman,36.1982,-101.1943,3123,573
Malabar,27.9884,-80.5781,3123,112
Bandon,43.1141,-124.4158,3122,434
Frazier Park,34.8118,-118.9549,3121,231
Cottonwood,35.3464,-118.9851,3121,2602
Sixteen Mile Stand,39.2749,-84.3266,3120,1081
Superior,33.2851,-111.1109,3120,613
Landis,35.5477,-80.6113,3119,355
Hiawatha,39.8519,-95.538,3119,470
Mar-Mac,35.3345,-78.0545,3119,264
Orchidlands Estates,19.557,-155.0142,3116,123
Harbor Bluffs,27.9081,-82.827,3116,1737
New Holstein,43.9491,-88.0942,3116,479
Clarksville,33.611,-95.0563,3115,396
Beaver,38.2759,-112.6383,3115,180
Kings Bay Base,30.7985,-81.5628,3115,438
Sloatsburg,41.162,-74.1902,3114,486
Early,31.7421,-98.9366,3113,322
Pine City,45.8368,-92.9682,3113,313
Checotah,35.482,-95.5224,3113,134
Needville,29.3957,-95.8386,3113,598
San Antonio Heights,34.1573,-117.6592,3113,491
Mount Penn,40.3287,-75.8897,3112,2927
Waialua,21.566,-158.1199,3112,548
Sandia Heights,35.1747,-106.4884,3111,636
Bath,42.8199,-84.4544,3110,204
Orofino,46.4866,-116.2572,3109,486
Galateo,18.364,-66.259,3109,1867
Warsaw,34.9994,-78.0928,3108,376
Ladysmith,45.4606,-91.0973,3108,284
Brillion,44.1758,-88.0707,3108,422
Boiling Springs,40.1592,-77.1391,3107,485
Mount Pocono,41.1225,-75.3582,3106,347
Westhampton,40.8325,-72.6616,3105,94
